x y
0.00020514 -0.08605813
0.00017603 -0.08608148
0.00014823 -0.08610700
0.00012184 -0.08613462
0.00009672 -0.08616440
0.00011113 -0.08615249
0.00012611 -0.08614071
0.00014067 -0.08612806
0.00015483 -0.08611507
0.00016861 -0.08610216
0.00018203 -0.08608940
0.00019511 -0.08607682
0.00020788 -0.08606442
0.00022026 -0.08605228
0.00023198 -0.08604058
0.00024303 -0.08602934
