x y theta(rad)
1.398859173059463501e-01 -9.632711298763751984e-03 -2.981565237045288086e+00
1.391020417213439941e-01 -1.155631430447101593e-02 -2.992808341979980469e+00
1.381180882453918457e-01 -1.351858023554086685e-02 -3.008361816406250000e+00
1.369533985853195190e-01 -1.549024786800146103e-02 -3.028335332870483398e+00
1.356311440467834473e-01 -1.746148616075515747e-02 -3.052783727645874023e+00
1.341736763715744019e-01 -1.942913047969341278e-02 -3.081739664077758789e+00
1.326049119234085083e-01 -2.139218524098396301e-02 -3.115200042724609375e+00
1.309461295604705811e-01 -2.335037477314472198e-02 3.130018472671508789e+00
1.292156875133514404e-01 -2.530367113649845123e-02 3.087548732757568359e+00
1.274291425943374634e-01 -2.725216001272201538e-02 3.040579080581665039e+00
1.255994141101837158e-01 -2.919600158929824829e-02 2.989108324050903320e+00
1.242803186178207397e-01 -3.109083883464336395e-02 2.970230817794799805e+00
1.227734684944152832e-01 -3.303287923336029053e-02 2.950222253799438477e+00
1.210812926292419434e-01 -3.499871492385864258e-02 2.928788661956787109e+00
1.192667335271835327e-01 -3.697089478373527527e-02 2.905811786651611328e+00
1.173760145902633667e-01 -3.894259035587310791e-02 2.880054950714111328e+00
1.154426708817481995e-01 -4.091105982661247253e-02 2.850470542907714844e+00
1.134862750768661499e-01 -4.287597909569740295e-02 2.817059278488159180e+00
1.115182191133499146e-01 -4.483737796545028687e-02 2.779807567596435547e+00
1.095452308654785156e-01 -4.679544270038604736e-02 2.738718748092651367e+00
1.075712814927101135e-01 -4.875043407082557678e-02 2.693797111511230469e+00
1.055988296866416931e-01 -5.070267245173454285e-02 2.645038604736328125e+00
1.055608540773391724e-01 -5.076097324490547180e-02 2.649461746215820312e+00
1.055231094360351562e-01 -5.082057416439056396e-02 2.653784036636352539e+00
1.054838150739669800e-01 -5.088559538125991821e-02 2.658074378967285156e+00
1.054422631859779358e-01 -5.095794424414634705e-02 2.662311315536499023e+00
1.053974330425262451e-01 -5.103760585188865662e-02 2.666722059249877930e+00
1.053481847047805786e-01 -5.112534761428833008e-02 2.671314239501953125e+00
1.052944287657737732e-01 -5.122114717960357666e-02 2.675982236862182617e+00
1.052362099289894104e-01 -5.132481083273887634e-02 2.680651664733886719e+00
1.051735356450080872e-01 -5.143640935420989990e-02 2.685343742370605469e+00
1.051064133644104004e-01 -5.155595391988754272e-02 2.690060138702392578e+00
1.050348356366157532e-01 -5.168343335390090942e-02 2.694793701171875000e+00
1.050177142024040222e-01 -5.173269659280776978e-02 2.697127819061279297e+00
1.050010472536087036e-01 -5.178568139672279358e-02 2.700718164443969727e+00
1.049845740199089050e-01 -5.184413865208625793e-02 2.705134391784667969e+00
1.049684509634971619e-01 -5.190973728895187378e-02 2.709927082061767578e+00
1.049522459506988525e-01 -5.198204144835472107e-02 2.714788675308227539e+00
1.049355417490005493e-01 -5.206119641661643982e-02 2.719639062881469727e+00
1.049182862043380737e-01 -5.214728042483329773e-02 2.724385738372802734e+00
1.049005016684532166e-01 -5.224023014307022095e-02 2.729013442993164062e+00
1.048821881413459778e-01 -5.233999341726303101e-02 2.733511924743652344e+00
1.048633605241775513e-01 -5.244656279683113098e-02 2.737874984741210938e+00
1.048440113663673401e-01 -5.255993455648422241e-02 2.742104291915893555e+00
1.030656546354293823e-01 -5.449217557907104492e-02 2.726438760757446289e+00
1.011799871921539307e-01 -5.645736306905746460e-02 2.709081649780273438e+00
9.923915565013885498e-02 -5.843274667859077454e-02 2.689830064773559570e+00
9.727298468351364136e-02 -6.040983647108078003e-02 2.668291091918945312e+00
9.529592841863632202e-02 -6.238610297441482544e-02 2.644444704055786133e+00
9.331457316875457764e-02 -6.436068564653396606e-02 2.618108987808227539e+00
9.133271872997283936e-02 -6.633336097002029419e-02 2.589221715927124023e+00
8.935210853815078735e-02 -6.830420345067977905e-02 2.557784080505371094e+00
8.737356215715408325e-02 -7.027336210012435913e-02 2.523795604705810547e+00
8.539757132530212402e-02 -7.224103063344955444e-02 2.487258195877075195e+00
8.342445641756057739e-02 -7.420743256807327271e-02 2.448168277740478516e+00
8.338464796543121338e-02 -7.424613088369369507e-02 2.452878236770629883e+00
8.334446698427200317e-02 -7.428678870201110840e-02 2.457318067550659180e+00
8.330363035202026367e-02 -7.432997226715087891e-02 2.461808204650878906e+00
8.326125144958496094e-02 -7.437637448310852051e-02 2.466180086135864258e+00
8.321661502122879028e-02 -7.442617416381835938e-02 2.470353603363037109e+00
8.316917717456817627e-02 -7.447993010282516479e-02 2.474360704421997070e+00
8.311857283115386963e-02 -7.453808188438415527e-02 2.478232383728027344e+00
8.306478708982467651e-02 -7.460061460733413696e-02 2.481965780258178711e+00
8.300782740116119385e-02 -7.466752827167510986e-02 2.485558032989501953e+00
8.294773101806640625e-02 -7.473891973495483398e-02 2.489018678665161133e+00
8.288451284170150757e-02 -7.481503486633300781e-02 2.492370843887329102e+00
8.111693710088729858e-02 -7.656490802764892578e-02 2.481081724166870117e+00
7.923549413681030273e-02 -7.843346148729324341e-02 2.469331741333007812e+00
7.729401439428329468e-02 -8.036659657955169678e-02 2.457180976867675781e+00
7.532501220703125000e-02 -8.233028650283813477e-02 2.444688796997070312e+00
7.334393262863159180e-02 -8.430790901184082031e-02 2.431827068328857422e+00
7.135776430368423462e-02 -8.629172295331954956e-02 2.418590784072875977e+00
6.936962902545928955e-02 -8.827821910381317139e-02 2.404943704605102539e+00
6.738102436065673828e-02 -9.026567637920379639e-02 2.390666007995605469e+00
6.539262831211090088e-02 -9.225334972143173218e-02 2.375746250152587891e+00
6.340470910072326660e-02 -9.424093365669250488e-02 2.360191345214843750e+00
6.141741201281547546e-02 -9.622831642627716064e-02 2.343996763229370117e+00
5.998820811510086060e-02 -9.622444212436676025e-02 2.333832025527954102e+00
5.833826959133148193e-02 -9.621391445398330688e-02 2.320262670516967773e+00
5.652002245187759399e-02 -9.619483351707458496e-02 2.302062034606933594e+00
5.461727827787399292e-02 -9.616728872060775757e-02 2.279048919677734375e+00
5.267680436372756958e-02 -9.613146632909774780e-02 2.251178026199340820e+00
5.072159320116043091e-02 -9.608770906925201416e-02 2.218445301055908203e+00
4.876254126429557800e-02 -9.603638947010040283e-02 2.180821895599365234e+00
4.680482298135757446e-02 -9.597803652286529541e-02 2.138313293457031250e+00
4.485097527503967285e-02 -9.591327607631683350e-02 2.090922594070434570e+00
4.290229454636573792e-02 -9.584281593561172485e-02 2.038649797439575195e+00
4.095950722694396973e-02 -9.576748311519622803e-02 1.981496334075927734e+00
3.980218991637229919e-02 -9.567143023014068604e-02 1.980548501014709473e+00
3.838725015521049500e-02 -9.554349631071090698e-02 1.978150367736816406e+00
3.673388436436653137e-02 -9.537366032600402832e-02 1.973811268806457520e+00
3.493093326687812805e-02 -9.516023844480514526e-02 1.967505574226379395e+00
3.304304555058479309e-02 -9.490319341421127319e-02 1.959209084510803223e+00
3.110916353762149811e-02 -9.460254013538360596e-02 1.948912501335144043e+00
2.915128692984580994e-02 -9.425836056470870972e-02 1.936616539955139160e+00
2.718163467943668365e-02 -9.387105703353881836e-02 1.922323584556579590e+00
2.520675584673881531e-02 -9.344094246625900269e-02 1.906027197837829590e+00
2.323017083108425140e-02 -9.296850115060806274e-02 1.887725710868835449e+00
2.125374972820281982e-02 -9.245426207780838013e-02 1.867420673370361328e+00
2.121629379689693451e-02 -9.244821965694427490e-02 1.872010827064514160e+00
2.117844298481941223e-02 -9.244160354137420654e-02 1.876732587814331055e+00
2.113827317953109741e-02 -9.243393689393997192e-02 1.881947517395019531e+00
2.109532058238983154e-02 -9.242521226406097412e-02 1.887495160102844238e+00
2.104937285184860229e-02 -9.241543710231781006e-02 1.893461704254150391e+00
2.100057713687419891e-02 -9.240431338548660278e-02 1.899780154228210449e+00
2.094884216785430908e-02 -9.239179641008377075e-02 1.906517267227172852e+00
2.089387737214565277e-02 -9.237850457429885864e-02 1.913676023483276367e+00
2.083554491400718689e-02 -9.236470609903335571e-02 1.921378612518310547e+00
2.077390626072883606e-02 -9.235035628080368042e-02 1.929589152336120605e+00
2.070898562669754028e-02 -9.233546257019042969e-02 1.938297986984252930e+00
1.999985240399837494e-02 -9.225178509950637817e-02 1.924950003623962402e+00
1.906129345297813416e-02 -9.211643040180206299e-02 1.909448742866516113e+00
1.780682615935802460e-02 -9.189600497484207153e-02 1.890268921852111816e+00
1.630626432597637177e-02 -9.158572554588317871e-02 1.867145299911499023e+00
1.463392190635204315e-02 -9.118402749300003052e-02 1.839927434921264648e+00
1.285143848508596420e-02 -9.069238603115081787e-02 1.808587431907653809e+00
1.100158598273992538e-02 -9.011314809322357178e-02 1.773121476173400879e+00
9.112122468650341034e-03 -8.944913744926452637e-02 1.733531832695007324e+00
7.200453896075487137e-03 -8.870349079370498657e-02 1.689818978309631348e+00
5.277257878333330154e-03 -8.787964284420013428e-02 1.641984462738037109e+00
3.348971251398324966e-03 -8.698127418756484985e-02 1.590030193328857422e+00
3.241716418415307999e-03 -8.699623495340347290e-02 1.578925609588623047e+00
3.129078773781657219e-03 -8.700774610042572021e-02 1.568392276763916016e+00
2.989337779581546783e-03 -8.701282739639282227e-02 1.559861660003662109e+00
2.816597232595086098e-03 -8.701014518737792969e-02 1.553874373435974121e+00
2.609843155369162560e-03 -8.699995279312133789e-02 1.550688385963439941e+00
2.366944681853055954e-03 -8.698164671659469604e-02 1.549783945083618164e+00
2.085824729874730110e-03 -8.695454895496368408e-02 1.550995111465454102e+00
1.766017405316233635e-03 -8.691763132810592651e-02 1.554345250129699707e+00
1.407536910846829414e-03 -8.687087893486022949e-02 1.559844851493835449e+00
1.010136445984244347e-03 -8.681423962116241455e-02 1.567433476448059082e+00
5.738395848311483860e-04 -8.674775809049606323e-02 1.577010750770568848e+00
5.737442988902330399e-04 -8.674363046884536743e-02 1.577962756156921387e+00
5.737289320677518845e-04 -8.674010634422302246e-02 1.579085588455200195e+00
5.723544745706021786e-04 -8.673550188541412354e-02 1.580652713775634766e+00
5.687155062332749367e-04 -8.672954142093658447e-02 1.582488656044006348e+00
5.626609199680387974e-04 -8.672193437814712524e-02 1.584328055381774902e+00
5.536499666050076485e-04 -8.671233803033828735e-02 1.586067199707031250e+00
5.414362531155347824e-04 -8.670067787170410156e-02 1.587589740753173828e+00
5.260198959149420261e-04 -8.668693900108337402e-02 1.588895678520202637e+00
5.076153902336955070e-04 -8.667083829641342163e-02 1.589954257011413574e+00
4.862515488639473915e-04 -8.665233105421066284e-02 1.590761423110961914e+00
4.619367246050387621e-04 -8.663143217563629150e-02 1.591323137283325195e+00
4.359330923762172461e-04 -8.661425113677978516e-02 1.593776822090148926e+00
4.101938393432646990e-04 -8.659850805997848511e-02 1.596327185630798340e+00
3.841775760520249605e-04 -8.658277988433837891e-02 1.598496913909912109e+00
3.580761549528688192e-04 -8.656615763902664185e-02 1.599843740463256836e+00
3.320997057016938925e-04 -8.654841780662536621e-02 1.600379705429077148e+00
3.062305040657520294e-04 -8.652960509061813354e-02 1.600132942199707031e+00
2.806332195177674294e-04 -8.650894463062286377e-02 1.599247455596923828e+00
2.553654194343835115e-04 -8.648633211851119995e-02 1.597693443298339844e+00
2.304368681507185102e-04 -8.646169304847717285e-02 1.595443725585937500e+00
2.057446690741926432e-04 -8.643509447574615479e-02 1.592526912689208984e+00
1.811368274502456188e-04 -8.640649169683456421e-02 1.588978052139282227e+00
1.998146180994808674e-04 -8.641597628593444824e-02 1.582383751869201660e+00
2.180004812544211745e-04 -8.642736822366714478e-02 1.575829029083251953e+00
2.339511702302843332e-04 -8.643776178359985352e-02 1.569223999977111816e+00
2.474845678079873323e-04 -8.644742518663406372e-02 1.562357187271118164e+00
2.596262493170797825e-04 -8.645600825548171997e-02 1.555158019065856934e+00
2.708131505642086267e-04 -8.646338433027267456e-02 1.547460556030273438e+00
2.811283047776669264e-04 -8.646956831216812134e-02 1.539251089096069336e+00
2.906387671828269958e-04 -8.647456765174865723e-02 1.530468702316284180e+00
2.994630485773086548e-04 -8.647828549146652222e-02 1.521073102951049805e+00
3.078154113609343767e-04 -8.648056536912918091e-02 1.510992884635925293e+00
3.156774037051945925e-04 -8.648140728473663330e-02 1.500270128250122070e+00
2.731535059865564108e-04 -8.645462989807128906e-02 1.513618230819702148e+00
2.305430971318855882e-04 -8.642811328172683716e-02 1.526537537574768066e+00
1.877127797342836857e-04 -8.640169352293014526e-02 1.538662552833557129e+00
1.453196746297180653e-04 -8.637566119432449341e-02 1.550002813339233398e+00
1.031787251122295856e-04 -8.635027706623077393e-02 1.560700178146362305e+00
6.129020039224997163e-05 -8.632551133632659912e-02 1.570754647254943848e+00
1.935867476277053356e-05 -8.630135655403137207e-02 1.580150246620178223e+00
-2.287323150085285306e-05 -8.627769351005554199e-02 1.588965892791748047e+00
-6.540497997775673866e-05 -8.625452220439910889e-02 1.597201704978942871e+00
-1.082362723536789417e-04 -8.623182028532028198e-02 1.604857563972473145e+00
-1.513119495939463377e-04 -8.620959520339965820e-02 1.611927270889282227e+00
